Malware Sample,Malware Type,Malware Family,Rule Generation Method,Rule Type,Testing Type,ID,True Positives (TP),False Negatives (FN),False Positives (FP)
Sample A,Ransomware,AKira,MAN,DET,TT,ID0001,1,0,0
Sample A,Ransomware,AKira,MAN,DET,TT,ID0002,1,0,0
Sample A,Ransomware,AKira,MAN,CORR,TT,ID0003,1,0,0
Sample A,Ransomware,AKira,MAI,DET,TT,ID0004,1,0,0
Sample A,Ransomware,AKira,MAI,DET,TT,ID0005,1,0,0
Sample A,Ransomware,AKira,MAI,CORR,TT,ID0006,1,0,0
Sample A,Ransomware,AKira,AI,DET,TT,ID0010,1,0,0
Sample A,Ransomware,AKira,AI,DET,TT,ID0011,1,0,0
Sample A,Ransomware,AKira,AI,CORR,TT,ID0012,1,0,0
Sample A,Ransomware,AKira,MAN,DET,NTT,ID0001,1,14,0
Sample A,Ransomware,AKira,MAN,DET,NTT,ID0002,1,14,0
Sample A,Ransomware,AKira,MAN,CORR,NTT,ID0003,1,14,0
Sample A,Ransomware,AKira,MAI,DET,NTT,ID0004,1,14,0
Sample A,Ransomware,AKira,MAI,DET,NTT,ID0005,1,14,0
Sample A,Ransomware,AKira,MAI,CORR,NTT,ID0006,1,14,0
Sample A,Ransomware,AKira,AI,DET,NTT,ID0010,1,14,0
Sample A,Ransomware,AKira,AI,DET,NTT,ID0011,3,12,0
Sample A,Ransomware,AKira,AI,CORR,NTT,ID0012,1,14,0
Sample C,RAT,AsyncRAT,MAN,DET,TT,ID1001,1,0,19
Sample C,RAT,AsyncRAT,MAN,DET,TT,ID1002,1,0,0
Sample C,RAT,AsyncRAT,MAN,CORR,TT,ID1003,1,0,0
Sample C,RAT,AsyncRAT,MAI,DET,TT,ID1004,1,0,19
Sample C,RAT,AsyncRAT,MAI,DET,TT,ID1005,1,0,0
Sample C,RAT,AsyncRAT,MAI,CORR,TT,ID1006,1,0,0
Sample C,RAT,AsyncRAT,AI,DET,TT,ID1010,1,0,0
Sample C,RAT,AsyncRAT,AI,DET,TT,ID1011,1,0,0
Sample C,RAT,AsyncRAT,AI,CORR,TT,ID1012,1,0,0
Sample C,RAT,AsyncRAT,MAN,DET,NTT,ID1001,5,10,0
Sample C,RAT,AsyncRAT,MAN,DET,NTT,ID1002,0,15,0
Sample C,RAT,AsyncRAT,MAN,CORR,NTT,ID1003,0,15,0
Sample C,RAT,AsyncRAT,MAI,DET,NTT,ID1004,5,10,0
Sample C,RAT,AsyncRAT,MAI,DET,NTT,ID1005,0,15,0
Sample C,RAT,AsyncRAT,MAI,CORR,NTT,ID1006,0,15,0
