Type,Family,Variant (MSFT or Trend),First Seen/Submitted,Last Submitted to VT,Threat Label,MSFT Threat Label,Trend Threat Label,VM Detection,SHA256,MD5,Run,Success,AI Log Extraction,Runtime (s),Tokens,"AI Pattern Extraction & 
Rule Creation",Runtime (s),Tokens
Ransomware,Akira,AA!MTB,25/6/2025,17/3/2026,ransomware.akira/filecryptor,"Ransom:Win64/Akira.AA!MTB
",Ransom.Win64.AKIRA.SMYXDJJT,None Reported,4afda03ddeb1c62a1f87765ea383f920621134c3f6362959cb9993c24752fcb0,f1bda525dcb1803b8fb88efd22eda2f2,TRUE,TRUE,TRUE,109.5,21840,TRUE,140.19,12878
Ransomware,Akira,AA!MTB ,26/8/2025,13/7/2026,ransomware.akira/smyxdjjt,"Ransom:Win64/Akira.AA!MTB
",Ransom.Win64.AKIRA.SMYXDJJT,Some Reported,def3fe8d07d5370ac6e105b1a7872c77e193b4b39a6e1cc9cfc815a36e909904,ae454079c93a7a1ce276756b9d62d196,TRUE,TRUE,FALSE,,,,,
Ransomware,Lockbit,AK!ibt,13/3/2025,12/2/26,ransomware.lockbit/blackmatter,Ransom:Win32/Lockbit.AK!ibt,Ransom.Win32.LOCKBIT.SMYXCGU,Some Reported,47aa84cda2854d32ed9621b6121281069caecdbe7f0b665183aba0bd4db3d729,05299013ef48e5bf6c70d13dd37ddd88,TRUE,TRUE,TRUE,3480.26,464523,TRUE,763.03,167204
Ransomware,Lockbit,HA!MTB,19/10/2025,8/1/26,ransomware.lockbit/blackmatter,Ransom:Win32/Lockbit.HA!MTB,Ransom.Win32.LOCKBIT.SMYXCJN,Some Reported,7df420f9c3846e357c6667378c6430fb32f9c964f4cc48838e61d2ba1d019519,a4fdb2c382d874c8cb72ab67842cad72,TRUE,TRUE,FALSE,,,,,
Ransomware,Sugarcrypt,YXCBC,24/1/2022,6/12/25,ransomware.sugar/filecryptor,Ransom:Win32/FileCryptor.MAK!MTB,Ransom.Win32.SUGARCRYPT.YXCBC,Delayed Execution;Time-based checks,4a97bc8111631795cb730dfe7836d0afac3131ed8a91db81dde5062bb8021058,,,,FALSE,,,FALSE,,
Ransomware,Sugarcrypt,THBODBB,15/11/2021,7/3/26,ransomware.sugar/sugarcrypt,Trojan:Win32/Wacatac.B!ml,Ransom.Win32.SUGARCRYPT.THBODBB,Registry Key Checks,43e4a6830f54f3bd039b90f0a27ad19a9f2bb673ab990f34dc201c3b102e056a,,TRUE,FALSE,FALSE,,,,,
Trojan,IcedID,GG!MTB,11/5/22,27/7/2023,trojan.icedid/tedy,Trojan:Win32/IcedID.GG!MTB,-,Evasive loops,63770070208c532df8a7d41a391faff7c5280814bebd13b0b935f0fa80fc8e27,,,,FALSE,,,,,
Trojan,IcedID,GG!MTB,20/5/2022,21/5/2022,trojan.icedid/tedy,Trojan:Win32/IcedID.GG!MTB,-,Evasive loops,42605a1640895ba3d64833f8fc077c074710b142fcb0332607af8560feb64a24,,,,FALSE,,,,,
Trojan,AgentTesla,RBM!MTB,14/7/2026,16/7/2026,trojan.msil/agenttesla,Trojan:MSIL/AgentTesla.RBM!MTB,TrojanSpy.MSIL.NEGASTEAL.SMG,"WMI Queries, Write-Watch memory, Paused/Delayed exeuction",5df3d8d157cea2c1e957202eaea1c2dc27279e992828cfd8be931d48f9458d19,,,,FALSE,,,,,
Trojan,XWORM,XWorm!MTB,21/7/2026,21/7/2026,trojan.xworm/msil,Trojan:Win64/XWorm!MTB,Backdoor.Win64.XWORM.YXGGUZ,Anti-debugging,c394b09989c31d4f1c9f73a806458159c1df03132ae97f578abe43b56fa832fc,,TRUE,TRUE,FALSE,,,,,
Trojan,Phorpiex,RC!MTB,16/1/2026,14/7/2026,trojan.phorpiex/kadrbot,Trojan:Win32/Phorpiex.RC!MTB,TROJ_FRS.0NA103AT26,Time/date check,6b7c767694aa1cdf7429f364c0c104b32f738203c8c60b5f25a6e2f6a66a71fa,f4c9005c80304cf865ebaad861d18bfe,TRUE,TRUE,TRUE,418.07,75197,TRUE,247.09,17655
Trojan,Phorpiex,APX!MTB,6/7/26,14/7/2026,trojan.phorpiex/emailworm,Trojan:Win32/Phorpiex.APX!MTB,Trojan.Win32.VSX.PE04CA3,Time/date check,1d8bdf8caa4189017478785b995c242b07b4ebeda272b34af247e398487757e5,,TRUE,FALSE,FALSE,,,,,
Trojan,Noon,USBLFH26,17/6/2026,3/7/26,trojan.msil/noon,Trojan:Win32/Malgent,Trojan.Win32.ZYX.USBLFH26,"Evasive loops, write-watch memory",e6b15512909dad441e5da10f301d6369f333a5b51ad94f3504e9e6ef12dade3a,3e344a746bd85356e818872c40cc2407,TRUE,TRUE,TRUE,669.71,124546,TRUE,138.01,28206
Trojan,Noon,USBLG626,6/7/26,6/7/26,trojan.msil/noon,Trojan:Win32/Wacatac.B!ml,Trojan.Win32.ZYX.USBLG626,Write Watch memory;Paused/Delayed execution,df42728a561dd9bdef18a9d5e8f3795137ace647bbcfda68fc2108c1372fe5e9,451752995564964160b9a762ab13ed29,TRUE,TRUE,FALSE,,,,,
RAT,Remcos,remcosrat,22/6/2026,24/6/2026,trojan.powershell/remcosrat,Trojan:PowerShell/AsyncRAT.AA!AMTB,-,Mouse movements,dfa61653a19eb4591ddf7dbcc6d6a37ba0c658f4bd7bf9c1f152730fff3deafb,7edd0f9a4a1b690b115c43194ebbea2b,TRUE,TRUE,TRUE,137,26793,TRUE,211.28,17963
RAT,Remcos,rescoms,14/7/2026,14/7/2026,,,,Mouse movements;evasive loop,a25ffcdd9e9409efe9df85f03a7218c644ad5fa4839c5f19ec7fbca069a98ffb,6a281d12b35eeb19e280d06a9d0dc7fc,TRUE,TRUE,FALSE,,,,,
RAT,AsyncRAT (PS),crysan,21/6/2026,23/6/2026,trojan.asyncrat/crysan,Trojan:Win32/Egairtigado!rfn,-,"Mouse movements,Delayed Execution",9bf3e590250b86e1e9dee20e6200b67983e6f48d1ccc07559a5835d7d85d72e6,,,,FALSE,,,,,
RAT,AsyncRAT (PS),crysan,21/6/2026,23/6/2026,trojan.asyncrat/crysan,Trojan:Win32/Egairtigado!rfn,-,"Mouse movements,Delayed Execution",858e95756f32a2833275064e8a18ae1a8de873bbf7ed661570cfdfc37953544d,,,,FALSE,,,,,
RAT,AsyncRAT (PS),injectornett,21/6/2026,23/6/2026,trojan.asyncrat/injectornett,Trojan:Win32/Egairtigado!rfn,-,"Mouse movements,Delayed Execution",05d9390632b8587d961e4fb1b6deb836887852c496f110397121b567e98ac3b8,,FALSE,FALSE,FALSE,,,FALSE,,
RAT,AsyncRAT (EXE),AD!MTB,24/3/2026,24/3/2026,trojan.msil/asyncrat,Backdoor:MSIL/AsyncRat.AD!MTB,Backdoor.MSIL.ASYNCRAT.SM,Write Watch memory,cfb702308d9e1ce192bb572bfc2553eb5c58b2e09793b6c9c1e00c6c9f31f6d7, aeebc2dff56c363e13855aca13353621 ,TRUE,TRUE,TRUE,469,92285,TRUE,181.48,15679
RAT,AsyncRAT (EXE),-,13/6/2026,19/6/2026,trojan.msil/asyncrat,Trojan:MSIL/Xworm.PGXE!MTB,TrojanSpy.MSIL.NEGASTEAL.SMG,WMI Queries;Delayed/Paused execution,09cf564075e4a500b6df3a3ca263076c47730b28d60c12fc59c7fd4e7464fa85,7bd5d0e316539867a7fce67807b5c266,TRUE,TRUE,FALSE,,,,,
RAT,STXRAT,STXRata.BB,22/3/2026,22/3/2026,trojan.stxrat/outpack,Trojan:Win32/STXRata.BB,TROJ_GEN.R002C0DEB26,Anti-debugging,a57683ae49dd24256dab0dd21ca83c4a08892fda92e83206447380a2b6c80221,,,,FALSE,,,,,
InfoStealer,Lumma,lumma,15/1/2026,22/1/2026,trojan.lumma/powershell,Trojan:Win32/Leonem!rfn,-,Mouse movements;evasive loop,b28c97c1752c8923c3886dd20cf7785b9a1a5cf2c4dbd749d74266ef43f3f76c,95e7c1270aa1f28824c362e63a9e0f3e,TRUE,TRUE,FALSE,,,,,
InfoStealer,LummaStealer,lummastealer,18/3/2026,23/6/2026,trojan.lummastealer/powershell,Trojan:PowerShell/Obfuse.O!AMTB,-,Mouse movements;evasive loop,510fc02f59bb4c5ee01f7d3cc3cf1fdaa668a6f2c6cb5417363f2b10b1a84979,1326dd9accf07bac670b09993eda3b2e,TRUE,TRUE,TRUE,260.69,41043,TRUE,171.53,20153
InfoStealer,Snake,snakelogger,27/11/2025,8/12/25,trojan.msil/snakelogger,Trojan:MSIL/Spynoon.AFMB!MTB,TROJ_FRS.0NA104LI25,Time/date check,c9aa4d63ebfcc0345c125489766dd245a348a3f2c0ce15420a8103053237ef1a,5d0d104f1dfaad50e8e89858d8b8fba8,TRUE,TRUE,TRUE,491.31,87726,TRUE,360.47,41790
InfoStealer,Snake,snakestealer,20/5/2026,12/6/26,trojan.msil/snakestealer,Backdoor:MSIL/Bladabindi.AMBE!MTB,-,None,6525312907eee77413177f2a7c8d3a69c9f635255c1055c58de30d1b2bc556be,4238de72c2f4d3f2eaa4c7d5f9c808ce,TRUE,TRUE,FALSE,,,FALSE,,
